"id","Symbol","IDG Family"
1,"CTH","Enzyme"
2,"C7orf77","Other"
3,"C8orf34","Other"
4,"CGGBP1","Other"
5,"C8orf76","Other"
6,"CHD1","Epigenetic"
7,"CHERP","Other"
8,"CHP1","Other"
9,"CAMTA2","Transcription Factor"
10,"CNBD1","Other"
11,"CNBD2","Other"
12,"COMTD1","Enzyme"
13,"NCAPD3","Other"
14,"CMTR2","Enzyme"
15,"CTNNBIP1","Other"
16,"CNDP2","Enzyme"
17,"PDE6H","Enzyme"
18,"CTDNEP1","Enzyme"
19,"CNFN","Other"
20,"CNKSR1","Enzyme"
21,"CNKSR3","Enzyme"
22,"CNIH1","Other"
23,"CNPY1","Other"
24,"PDE6G","Enzyme"
25,"CNTN3","Other"
26,"CNST","Other"
27,"CNTFR","Other"
28,"CNTLN","Other"
29,"C15orf54","Other"
30,"C15orf56","Other"
31,"C15orf65","Other"
32,"COL4A3","Other"
33,"C2","Other"
34,"COL8A1","Other"
35,"COL3A1","Other"
36,"C4B","Other"
37,"COL5A1","Other"
38,"COL5A3","Other"
39,"DPH3P1","Other"
40,"C9","Other"
41,"COA1","Enzyme"
42,"C7","Other"
43,"DPH6","Enzyme"
44,"DPH7","Enzyme"
45,"COASY","Enzyme"
46,"MT-CO3","Enzyme"
47,"CMC2","Other"
48,"COX7A2P2","Enzyme"
49,"C16orf54","Other"
50,"C16orf86","Other"
51,"CYP26A1","Enzyme"
52,"CYP7A1","Enzyme"
53,"CYP1A2","Other"
54,"NUDT21","Other"
55,"CYP27A1","Enzyme"
56,"CYP1B1","Other"
57,"CYP20A1","Other"
58,"CYP2D6","Enzyme"
59,"CRYBA1","Other"
60,"CRTAC1","Other"
61,"CRYBB2","Other"
62,"CRAMP1","Other"
63,"CLSTN1","Other"
64,"C20orf27","Other"
65,"ENDOV","Enzyme"
66,"CST9L","Other"
67,"CST9LP1","Other"
68,"CST9","Other"
69,"CTAGE1","Other"
70,"CTAGE1","Other"
71,"CTAGE3P","Other"
72,"SLC44A4","Transporter"
73,"CTIF","Other"
74,"SLC44A5","Transporter"
75,"CHTF18","Other"
76,"CTNNA2","Other"
77,"CTAGE9","Other"
78,"CTGF","Other"
79,"SLC7A2","Transporter"
80,"CTTNBP2","Other"
81,"CATSPER4","Ion Channel"
82,,"Other"
83,"ERVK-18","Other"
84,"CATSPERG","Other"
85,"CATSPERZ","Other"
86,"ERVK-6","Other"
87,"ERVK-7","Other"
88,"ERVK-8","Other"
89,"ENKD1","Other"
90,"LINC00158","Other"
91,"LINC01547","Other"
92,"LINC00308","Other"
93,"LINC00315","Other"
94,"CUBN","Other"
95,"CTXND1","Other"
96,"CTXND2","Other"
97,"CUTA","Other"
98,"ENO1","Enzyme"
99,"CUX1","Other"
100,"C22orf34","Other"
101,"ENO3","Enzyme"
102,"ENO2","Enzyme"
103,"COX6A2","Enzyme"
104,"COX6B1","Enzyme"
105,"GJA10","Other"
106,"GJA8","Other"
107,"GJA4","Other"
108,"GJB6","Other"
109,"CXCL3","Other"
110,"GJB1","Other"
111,"CXCL6","Other"
112,"PPBP","Other"
113,"GJB3","Other"
114,"GJD4","Other"
115,"CXCR2","GPCR"
116,"GJE1","Other"
117,"CXCR4","GPCR"
118,"CYB5A","Other"
119,"CYBC1","Other"
120,"CACYBP","Other"
121,"MT-CYB","Other"
122,"MT-CO2","Enzyme"
123,"CMC1","Other"
124,"COX7A2L","Enzyme"
125,"CYP2C8","Other"
126,"CYP2J2","Other"
127,"C17orf82","Other"
128,"C17orf100","Other"
129,"CYP2S1","Other"
130,"CRTAP","Other"
131,"CRLF1","Other"
132,"CRLF2","Other"
133,"CRYAA","Other"
134,"KCNIP3","Ion Channel"
135,"CSH1","Other"
136,"EMC6","Other"
137,"EMC9","Other"
138,"EMD","Other"
139,"CSF2RA","Other"
140,"CSF3R","Other"
141,"EMID1","Other"
142,"CASKIN2","Other"
143,"COPS6","Other"
144,"COPS7A","Other"
145,"RBBP8","Enzyme"
146,"CTNNA1","Other"
147,"SLC44A1","Transporter"
148,"CTAGE15","Other"
149,"CUL3","Other"
150,"CUL4A","Other"
151,"CUTC","Other"
152,"CUX2","Transcription Factor"
153,"CXCL2","Other"
154,"CXCL5","Other"
155,"CXCR5","GPCR"
156,"GJB4","Other"
157,"CXCL13","Other"
158,"CXCL14","Other"
159,"CXCL17","Other"
160,"RTL8C","Other"
161,"CYB561","Other"
162,"CYBB","Ion Channel"
163,"CYBRD1","Enzyme"
164,"CDS2","Enzyme"
165,"CEP85L","Other"
166,"CEACAM16","Other"
167,"CEACAM18","Other"
168,"CEP164","Other"
169,"C5orf51","Other"
170,"CEBPZ","Other"
171,"CELSR2","GPCR"
