"id","Symbol","IDG Family"
172,"CEFIP","Other"
173,"UGCG","Enzyme"
174,"CEP19","Other"
175,"CENPK","Other"
176,"CENPB","Other"
177,"CELSR1","GPCR"
178,"CENPO","Other"
179,"CETN3","Other"
180,"C6orf99","Other"
181,"CFAP77","Other"
182,"CFAP161","Other"
183,"C7orf61","Other"
184,"C8orf86","Other"
185,"C8orf87","Other"
186,"LINC00208","Other"
187,"CFAP44","Other"
188,"CSGALNACT2","Enzyme"
189,"CFAP52","Other"
190,"C8orf49","Other"
191,"CFAP58","Other"
192,"HSPE1","Other"
193,"DLD","Enzyme"
194,"CHCHD7","Other"
195,"CHD3","Epigenetic"
196,"CNIH3","Other"
197,"CNGA4","Ion Channel"
198,"CNIH4","Other"
199,"CNGB1","Ion Channel"
200,"HLA-DPB1","Other"
201,"CNN1","Other"
202,"HMGN2P46","Other"
203,"CNNM1","Other"
204,"CNPPD1","Other"
205,"CNOT3","Other"
206,"CNOT4","Other"
207,"CNR1","GPCR"
208,"CNTNAP2","Other"
209,"CNOT8","Other"
210,"CNOT9","Other"
211,"CNTROB","Other"
212,"CNTRL","Other"
213,"C15orf61","Other"
214,"DPH1","Other"
215,"C8B","Other"
216,"C3","Other"
217,"COL9A2","Other"
218,"COL6A1","Other"
219,"COL6A3","Other"
220,"COL6A5","Other"
221,"COL6A6","Other"
222,"C6","Other"
223,"DPH5","Enzyme"
224,"DPM1","Enzyme"
225,"DPM2","Other"
226,"DPM3","Enzyme"
227,"COQ10B","Other"
228,"CPSF1","Other"
229,"CREB3L4","Transcription Factor"
230,"CPLX4","Other"
231,"CYP24A1","Enzyme"
232,"CRIPAK","Other"
233,"CTXN1","Other"
234,"CTXN3","Other"
235,"CTU2","Other"
236,"LINC00479","Other"
237,"LINC00322","Other"
238,"C21orf58","Other"
239,"LINC00846","Other"
240,"LINC00310","Other"
241,"LINC00313","Other"
242,"LINC00205","Other"
243,"LINC00527","Other"
244,"CUL1","Other"
245,"CUL9","Other"
246,"ENOSF1","Enzyme"
247,"T-ENOL","Other"
248,"CWC25","Other"
249,"ENOPH1","Enzyme"
250,"CXorf21","Other"
251,"NKAPP1","Other"
252,"CXorf58","Other"
253,"CXorf51A","Other"
254,"CXorf51B","Other"
255,"LINC00269","Other"
256,"CXorf65","Other"
257,"ENOX2","Other"
258,"CX3CR1","GPCR"
259,"COX6A1","Enzyme"
260,"COX7A1","Enzyme"
261,"COX7A2","Enzyme"
262,"COX6B2","Enzyme"
263,"GJA1","Other"
264,"GJA5","Other"
265,"GJA9","Other"
266,"CXADR","Other"
267,"GJB7","Other"
268,"GJB2","Other"
269,"GJD3","Other"
270,"GJB5","Other"
271,"CXCL11","Other"
272,"CXCR3","GPCR"
273,"CXXC5","Other"
274,"CXXC1","Epigenetic"
275,"CYBA","Other"
276,"CYB5B","Other"
277,"CYCS","Other"
278,"CYLD","Enzyme"
279,"FAM72A","Other"
280,"FAM72C","Other"
281,"FAM83A","Other"
282,"CPTP","Other"
283,"CYP8B1","Enzyme"
284,"CYP2C19","Other"
285,"CYP2A6","Other"
286,"CPLX1","Other"
287,"CPXM2","Enzyme"
288,"CPAMD8","Other"
289,"CRYBG1","Other"
290,"EIF3L","Other"
291,"CHRDL2","Other"
292,"ORAI1","Ion Channel"
293,"CPT1C","Enzyme"
294,"MCC","Other"
295,"CRCT1","Other"
296,"CREG2","Other"
297,"CHRFAM7A","Other"
298,"CRP","Other"
299,"CRISPLD1","Other"
300,"CROCC","Other"
301,"CRB2","Other"
302,"CRB3","Other"
303,"CRX","Transcription Factor"
304,"CTNND1","Other"
305,"CTNND2","Other"
306,"CTNNAL1","Other"
307,"SLC44A3","Transporter"
308,"SLC7A3","Transporter"
309,"CTDSPL2","Enzyme"
310,"CATSPER1","Ion Channel"
311,"CATSPER3","Ion Channel"
312,"CTRC","Enzyme"
313,"CATSPERB","Other"
314,"CATSPERD","Other"
315,"ERVK11-1","Other"
316,"ERVK13-1","Other"
317,"ERVK-19","Other"
318,"ERVK-25","Other"
319,"ERVK-5","Other"
320,"ERVK-9","Other"
321,"CTU1","Other"
322,"MLLT1","Other"
323,"CTXN2","Other"
324,"LINC00114","Other"
325,"LINC01549","Other"
326,"LINC01548","Other"
327,"C21orf62","Other"
328,"CUEDC2","Other"
329,"CUL5","Other"
330,"CXCR6","GPCR"
331,"CXCL9","Other"
332,"GJD2","Other"
333,"CXCR1","GPCR"
334,"CYB561A3","Other"
335,"C5orf22","Other"
336,"CDK1","Kinase"
337,"C5orf34","Other"
338,"CDSN","Other"
339,"CDS1","Enzyme"
340,"CEP295","Other"
341,"CEL","Enzyme"
342,"CENPC","Other"
343,"CENPP","Other"
344,"CELF1","Other"
345,"CENPH","Other"
346,"DIEXF","Other"
347,"CENPA","Other"
348,"CELF4","Other"
349,"CEP83","Other"
350,"CENPU","Other"
351,"CERS6","Transcription Factor"
352,"C6orf183","Other"
353,"LINC01600","Other"
354,"CFAP65","Other"
355,"LINC01556","Other"
356,"CETP","Other"
357,"CFAP298","Other"
358,"CFAP97","Other"
359,"LINC00472","Other"
360,"CGNL1","Other"
361,"CFAP45","Other"
362,"CHI3L1","Enzyme"
363,"CHCHD10","Other"
364,"CMSS1","Other"
365,"CMTR1","Enzyme"
366,"NCAPG2","Other"
367,"CMYA5","Other"
368,"CNDP1","Enzyme"
369,"LINC00596","Other"
370,"CNGA3","Ion Channel"
371,"CNKSR2","Enzyme"
372,"CNNM3","Other"
373,"CNOT10","Other"
374,"CNN2","Other"
375,"CNN3","Other"
376,"CNOT6L","Other"
377,"CNOT1","Other"
378,"CNPY2","Other"
379,"CNOT2","Other"
380,"CNTN5","Other"
381,"DPEP3","Enzyme"
382,"CNR2","GPCR"
383,"DPF1","Epigenetic"
384,"CNTF","Other"
385,"DTNBP1","Other"
386,"COX5A","Enzyme"
387,"DTD1","Enzyme"
388,"DTD2","Enzyme"
389,"COX8A","Enzyme"
390,"C16orf96","Other"
391,"C16orf46","Other"
392,"C16orf62","Other"
393,"CYP11A1","Enzyme"
394,"C16orf90","Other"
395,"C17orf78","Other"
396,"CYP4F11","Enzyme"
397,"C17orf98","Other"
398,"CYP4F12","Other"
399,"CPNE5","Other"
400,"CPLANE1","Other"
401,"CAPNS1","Other"
402,"CYP2F1","Other"
403,"CYP4F2","Enzyme"
404,"CYP3A7","Enzyme"
405,"C17orf51","Other"
406,"CYP2W1","Other"
407,"CYP4Z1","Other"
408,"CPEB3","Other"
409,"CPLX2","Other"
410,"CPT1A","Enzyme"
411,"CPEB4","Other"
412,"CYP2D7","Other"
413,"CYP4A22","Other"
414,"CRYBA4","Other"
415,"CRADD","Other"
416,"CRISPLD2","Other"
417,"CROCCP2","Other"
418,"CRLF3","Other"
419,"CRYAA2","Other"
420,"CRYL1","Enzyme"
421,"EMC2","Other"
422,"CSF2","Other"
423,"CSNK2A3","Kinase"
424,"CASKIN1","Other"
425,"CASK","Kinase"
426,"CSK","Kinase"
427,"C19orf25","Other"
428,"SLC7A1","Transporter"
429,"SLC7A4","Transporter"
430,"CATSPER2","Ion Channel"
431,"CTRL","Enzyme"
432,,"Other"
433,"ENHO","Other"
434,"CATSPERE","Other"
435,"ERVK-21","Other"
436,"ERVK-24","Other"
437,"CUEDC1","Other"
438,"ENO4","Enzyme"
439,"CUL4B","Other"
440,"CUZD1","Other"
441,"C22orf15","Other"
442,"C22orf24","Other"
443,"C22orf31","Other"
444,"LINC00528","Other"
445,"C22orf39","Other"
446,"C22orf42","Other"
447,"C22orf46","Other"
448,"CWC15","Other"
449,"CWC22","Other"
450,"CWC27","Enzyme"
451,"CXorf1","Other"
452,"LINC01560","Other"
453,"LINC01546","Other"
454,"LINC01545","Other"
455,"CXorf38","Other"
456,"CXorf49","Other"
457,"CXorf40A","Other"
458,"CXorf40B","Other"
459,"CXorf56","Other"
460,"ENOX1","Other"
461,"CXorf66","Other"
462,"CXorf67","Other"
463,"COX7B2","Enzyme"
464,"GJA3","Other"
465,"GJC1","Other"
466,"GJC2","Other"
467,"GJC3","Other"
468,"CXCL10","Other"
469,"CXCL16","Other"
470,"CYC1","Other"
471,"CXXC4","Other"
472,"CCL4","Other"
473,"CCR9","GPCR"
474,"CD79B","Other"
475,"CD44","Other"
476,"CDC73","Other"
477,"CD52","Other"
478,"CDCP2","Other"
479,"CDR2L","Other"
480,"CDO1","Enzyme"
481,"CDY1","Epigenetic"
482,"C6orf106","Other"
483,"C6orf141","Other"
484,"CEP70","Other"
485,"CFAP46","Other"
486,"CHFR","Enzyme"
487,"CHCHD1","Other"
488,"CHCHD2","Other"
489,"DNLZ","Other"
490,"DNM1L","Other"
491,"DNMT3A","Epigenetic"
492,"DNMT3B","Epigenetic"
493,"DNMT3L","Enzyme"
494,"DNMBP","Other"
495,"DNMT1","Enzyme"
496,"DNPEP","Enzyme"
497,"DNPH1","Enzyme"
498,"DNASE2","Enzyme"
499,"DNASE1L1","Enzyme"
500,"DNASE1L3","Enzyme"
501,"HLA-DOB","Other"
502,"DOCK10","Other"
503,"DOCK11","Other"
504,"DOC2B","Other"
505,"DOCK1","Other"
506,"DOCK3","Other"
507,"DOCK7","Other"
508,"CSNK1G2-AS1","Other"
509,"CAMTA1","Transcription Factor"
510,"NCAPG","Other"
511,"NCAPH2","Other"
512,"CNBP","Other"
513,,"Other"
514,"LINC01551","Other"
515,"C14orf28","Other"
516,"LINC00523","Other"
517,"C14orf93","Other"
518,"C14orf119","Other"
519,"C14orf132","Other"
520,"C14orf144","Other"
521,"C14orf177","Other"
522,"C14orf178","Other"
523,"LINC01599","Other"
524,"CNP","Enzyme"
525,"NCAPD2","Other"
526,"CNK3/IPCEF1","Other"
527,"CNGB3","Ion Channel"
528,"CNTN1","Other"
529,"CNTN2","Other"
530,"DPEP1","Enzyme"
531,"CNTN4","Other"
532,"CNTN6","Other"
533,"CNOT7","Other"
534,"CNTD1","Other"
535,"CNTNAP3","Other"
536,"CNTNAP4","Other"
537,"C15orf40","Other"
538,"C15orf41","Other"
539,"COL2A1","Other"
540,"COL4A2","Other"
541,"CERKL","Enzyme"
542,"CENPJ","Other"
543,"CENPT","Other"
544,"CENPL","Other"
545,"CEP89","Other"
546,"CENPV","Other"
547,"CES1P1","Enzyme"
548,"CFAP206","Other"
549,"CFH","Other"
550,"CFI","Other"
551,"CEP57","Other"
552,"CEP68","Other"
553,"C7orf33","Other"
554,"CGREF1","Other"
555,"CFAP20","Other"
556,"CHAMP1","Other"
557,"CHD5","Epigenetic"
558,"CHD8","Epigenetic"
559,"CHD9","Epigenetic"
560,"CHDH","Enzyme"
561,"COL5A1-AS1","Other"
562,"DPRX","Transcription Factor"
563,"PDSS1","Enzyme"
564,"TCTE1","Other"
565,"FBXL13","Other"
566,"DRC7","Other"
567,"EFCAB2","Other"
568,"IQCG","Other"
569,"DRD1","GPCR"
570,"DRD2","GPCR"
571,"COL23A1","Other"
572,"DRD4","GPCR"
573,"CYP39A1","Enzyme"
574,"CYP3A4","Enzyme"
575,"CPVL","Enzyme"
576,"CR1","Other"
577,"CYP2B6","Other"
578,"CREB3L1","Transcription Factor"
579,"ENSA","Other"
580,"ENTPD3","Enzyme"
581,"ENTPD5","Enzyme"
582,"ENTPD7","Enzyme"
583,"ENY2","Other"
584,"ENPP4","Enzyme"
585,"EPPIN","Other"
586,"EPS15","Other"
587,"CLINT1","Other"
588,"EPHA10","Kinase"
589,"EPHB3","Kinase"
590,"ERC2","Other"
591,"KDELR3","Other"
592,"ERFE","Other"
593,"ERI1","Enzyme"
594,"ERI2","Enzyme"
595,"ERGIC2","Other"
596,"ERI3","Enzyme"
597,"ERICH6B","Other"
598,"ERICH1","Other"
599,"ERICH2","Other"
600,"ERICH3","Other"
601,"ERICH4","Other"
602,"ERICH5","Other"
603,"ERVK-25","Other"
604,"ERLIN1","Other"
605,"ERLIN2","Other"
606,"ERMAP","Other"
607,"GPR12","GPCR"
608,"ERN2","Kinase"
609,"GPR18","GPCR"
610,"GPR1","GPCR"
611,"GPR21","GPCR"
612,"GPR26","GPCR"
613,"ERVV-1","Other"
614,"ERVV-2","Other"
615,"EPS8L1","Enzyme"
616,"EPS8L2","Enzyme"
617,"EPS8L3","Enzyme"
618,"ESAM","Other"
619,"ESCO1","Enzyme"
620,"ESCO2","Enzyme"
621,"GPX5","Enzyme"
622,"EPSTI1","Other"
623,"ESRP1","Other"
624,"ESD","Enzyme"
625,"GZMA","Enzyme"
626,"GZMB","Enzyme"
627,"ESX1","Transcription Factor"
628,"GZMK","Enzyme"
629,"GRAMD4","Other"
630,"GRAP2","Other"
631,"GRAP","Other"
632,"ESYT1","Other"
633,"ESYT2","Other"
634,"ESYT3","Other"
635,"GRB10","Other"
636,"ETDA","Other"
637,"ETDB","Other"
638,"ETDC","Other"
639,"ETFB","Other"
640,"ETFRF1","Other"
641,"CCDC88A","Other"
642,"ETV1","Transcription Factor"
643,"ETV3","Transcription Factor"
644,"ETS2","Transcription Factor"
645,"EURL","Other"
646,"EVA1C","Other"
647,"EVC","Other"
648,"C22orf23","Other"
649,"EVI2A","Other"
650,"EVL","Other"
651,"EVPLL","Other"
652,"EVX1","Transcription Factor"
653,"EVX2","Transcription Factor"
654,"EWSR1","Other"
655,"EXOC3L1","Other"
656,"RASGRP2","Other"
657,"CDKL2","Kinase"
658,"CDK13","Kinase"
659,"CEACAM21","Other"
660,"C5orf17","Other"
661,"C5orf24","Other"
662,"CDX1","Transcription Factor"
663,"CDK7","Kinase"
664,"CEACAM8","Other"
665,"CELF6","Other"
666,"C6orf15","Other"
667,"C6orf47","Other"
668,"C6orf50","Other"
669,"C6orf203","Other"
670,"CFAP73","Other"
671,"C6orf120","Other"
672,"CFAP74","Other"
673,"LINC00242","Other"
674,"LINC01006","Other"
675,"C7orf25","Other"
676,"UGT8","Enzyme"
677,"CGAS","Enzyme"
678,"CFTR","Ion Channel"
679,"CFAP57","Other"
680,"CHD6","Epigenetic"
681,"COL8A2","Other"
682,"C4A","Other"
683,"C8G","Other"
684,"COL9A1","Other"
685,"COL4A1","Other"
686,"COL6A2","Other"
687,"COA3","Enzyme"
688,"COL7A1","Other"
689,"POLD3","Enzyme"
690,"POLD4","Enzyme"
691,"POLE","Enzyme"
692,"POLE2","Enzyme"
693,"POLE3","Enzyme"
694,"DPP7","Enzyme"
695,"DPP3","Enzyme"
696,"DPP4","Enzyme"
697,"CFL1","Other"
698,"CFL2","Other"
699,"DPP8","Enzyme"
700,"DPP9","Enzyme"
701,"DPPA4","Other"
702,"DPPA5","Other"
703,"COL24A1","Other"
704,"COP1","Enzyme"
705,"DUSP13","Enzyme"
706,"COX20","Enzyme"
707,"DDIT3","Other"
708,"CFAP100","Other"
709,"C16orf70","Other"
710,"C16orf89","Other"
711,"ENTPD6","Enzyme"
712,"EP300","Epigenetic"
713,"EPDR1","Other"
714,"EPM2A","Enzyme"
715,"EPG5","Other"
716,"EPN3","Other"
717,"EPHA2","Kinase"
718,"ERCC6L2","Other"
719,"GPN2","Enzyme"
720,"ERCC6L","Other"
721,"ERCC1","Other"
722,"ERCC2","Enzyme"
723,"ERCC5","Enzyme"
724,"ERCC6","Other"
725,"ERCC8","Other"
726,"ERF","Transcription Factor"
727,"SQLE","Enzyme"
728,"TM7SF2","Enzyme"
729,"ERG28","Other"
730,"ERGIC3","Other"
731,"LSS","Enzyme"
732,"ERGIC1","Other"
733,"ERICH6","Other"
734,"ERC2-IT1","Other"
735,"ERN1","Kinase"
736,"GPR15","GPCR"
737,"GPR17","GPCR"
738,"GPR19","GPCR"
739,"ERO1A","Other"
740,"GPR22","GPCR"
741,"GPR25","GPCR"
742,"ERP27","Other"
743,"GPR31","GPCR"
744,"GPR32","GPCR"
745,"GPR33","GPCR"
746,"GPR34","GPCR"
747,"GPR39","GPCR"
748,"GPR42","GPCR"
749,"GPR45","GPCR"
750,"GPSM1","Other"
751,"GPSM2","Other"
752,"GPATCH11","Other"
753,"CSB-PGBD3","Other"
754,"ESRRA","Nuclear Receptor"
755,"GPATCH3","Other"
756,"ESRRB","Nuclear Receptor"
757,"ESRRG","Nuclear Receptor"
758,"GP6","Other"
759,"ERRFI1","Other"
760,"GPX1","Enzyme"
761,"GPX2","Enzyme"
762,"GPX3","Enzyme"
763,"ESF1","Other"
764,"GPX7","Enzyme"
765,"ESM1","Other"
766,"ESPNL","Other"
767,"ESR1","Nuclear Receptor"
768,"CES3","Enzyme"
769,"CES4A","Enzyme"
770,"CES5A","Enzyme"
771,"LINC01565","Other"
772,"GZMH","Enzyme"
773,"GZMM","Enzyme"
774,"GCA","Other"
775,"GRIPAP1","Other"
776,"GRAPL","Other"
777,"GRASP","Other"
778,"ETAA1","Other"
779,"GRB14","Other"
780,"GREB1L","Other"
781,"GRB2","Other"
782,"GRB7","Other"
783,"ETFA","Other"
784,"EGLN1","Other"
785,"EGF","Other"
786,"ELFN1","Other"
787,"ELF1","Transcription Factor"
788,"ELK4","Transcription Factor"
789,"ELOVL5","Other"
790,"ENPP5","Enzyme"
791,"ENTPD2","Enzyme"
792,"PROCR","Other"
793,"EPHA4","Kinase"
794,"EPAS1","Other"
795,"EPHA8","Kinase"
796,"EPHB1","Kinase"
797,"ERAL1","Enzyme"
798,"EPHB4","Kinase"
799,"EPHX4","Enzyme"
800,"ERBB4","Kinase"
801,"ERBIN","Other"
802,"GSPT1","Enzyme"
803,"ERG","Transcription Factor"
804,"ERH","Other"
805,"ERLEC1","Other"
806,"ERMN","Other"
807,"ERMP1","Enzyme"
808,"ERP44","Other"
809,"GPR20","GPCR"
810,"ERO1B","Other"
811,"GPR27","GPCR"
812,"ERP29","Other"
813,"GPR35","GPCR"
814,"GPR37","GPCR"
815,"GPR3","GPCR"
816,"GPR4","GPCR"
817,"GPR52","GPCR"
818,"GPR55","GPCR"
819,"GPR61","GPCR"
820,"GPR62","GPCR"
821,"GPR63","GPCR"
822,"GPR6","GPCR"
823,"GPR75","GPCR"
824,"GPR78","GPCR"
825,"GPR82","GPCR"
826,"GPR83","GPCR"
827,"GPR84","GPCR"
828,"GPR85","GPCR"
829,"GPR87","GPCR"
830,"GPR88","GPCR"
831,"GLIPR1L1","Other"
832,"GPS2","Other"
833,"GPSM3","Other"
834,"GPATCH2L","Other"
835,"GPATCH1","Other"
836,"GPATCH2","Other"
837,"GPATCH4","Other"
838,"GPATCH8","Other"
839,"DPAGT1","Enzyme"
840,"GP5","Other"
841,"GPX4","Enzyme"
842,"DUX4L3","Transcription Factor"
843,"DUX4L4","Other"
844,"DUX4L5","Transcription Factor"
845,"GABRR1","Ion Channel"
846,"GBX1","Transcription Factor"
847,"DTX4","Enzyme"
848,"EFHC2","Other"
849,"EFHD1","Other"
850,"GEMIN4","Other"
851,"GEMIN5","Other"
852,"GEMIN6","Other"
853,"EFNA5","Other"
854,"EFNB1","Other"
855,"EFNB2","Other"
856,"GEM","Enzyme"
857,"GEN1","Enzyme"
858,"GPHN","Other"
859,"GFI1","Transcription Factor"
860,"GFOD2","Enzyme"
861,"EFR3A","Other"
862,"EFR3B","Other"
863,"EFS","Other"
864,"GGN","Other"
865,"GGPS1","Enzyme"
866,"SLC25A18","Transporter"
867,"GHDC","Other"
868,"EIF2B2","Other"
869,"EHD1","Other"
870,"EIF1AD","Other"
871,"GID8","Other"
872,"EGFL8","Other"
873,"EGFLAM","Other"
874,"EID3","Other"
875,"ELOA3C","Other"
876,"ELOA3D","Enzyme"
877,"ELK1","Transcription Factor"
878,"ELK3","Transcription Factor"
879,"ELMO3","Other"
880,"ELOVL1","Other"
881,"ELOVL2","Other"
882,"ELF4","Transcription Factor"
883,"ELOVL3","Other"
884,"ELF5","Transcription Factor"
885,"IFI30","Enzyme"
886,"GIMAP1","Enzyme"
887,"GIMAP2","Enzyme"
888,"GIMAP4","Enzyme"
889,"GIMAP5","Enzyme"
890,"GIMAP6","Enzyme"
891,"GIMAP7","Enzyme"
892,"GIMAP8","Enzyme"
893,"GIMD1","Enzyme"
894,"GIN1","Enzyme"
895,"GINM1","Other"
896,"GIPC1","Other"
897,"GIPC2","Other"
898,"GIPC3","Other"
899,"GIPR","GPCR"
900,"GIP","Other"
901,"GIT1","Enzyme"
902,"GIT2","Enzyme"
903,"GKAP1","Enzyme"
904,"GKN1","Other"
905,"GKN2","Other"
906,"GKN3P","Other"
907,"GLB1L","Enzyme"
908,"HSP90B2P","Other"
909,"HSP90B1","Other"
910,"EOMES","Transcription Factor"
911,"EOGT","Enzyme"
912,"EPM2A","Other"
913,"ENPP3","Enzyme"
914,"EDDM3A","Other"
915,"EP400","Other"
916,"EPHA5","Kinase"
917,"DIAPH2-AS1","Other"
918,"EPN1","Other"
919,"EPN2","Other"
920,"ERAP1","Enzyme"
921,"EPHB6","Kinase"
922,"EPHX3","Enzyme"
923,"ERBB3","Kinase"
924,"ERCC3","Enzyme"
925,"HSPA9","Other"
926,"EXO5","Enzyme"
927,"EXOC4","Other"
928,"EXOSC2","Other"
929,"EYA2","Other"
930,"EYA4","Other"
931,"EXTL2","Enzyme"
932,"EZR","Other"
933,"FAM110B","Other"
934,"FAM110D","Other"
935,"FAM107B","Other"
936,"FAM117B","Other"
937,"DMRT3","Transcription Factor"
938,"DLX2","Transcription Factor"
939,"DNM1P34","Other"
940,"DMRTB1","Transcription Factor"
941,"DLK1","Other"
942,"DTWD1","Other"
943,"DTX1","Enzyme"
944,"DUSP5","Enzyme"
945,"DUOX1","Enzyme"
946,"DUSP10","Enzyme"
947,"GFPT2","Enzyme"
948,"GFRAL","Other"
949,"GAGE12B","Other"
950,"GAGE12F","Other"
951,"GAGE12I","Other"
952,"GAGE12J","Other"
953,"GOLGA6L2","Other"
954,"GOLGA6L3","Other"
955,"GOLGA6L4","Other"
956,"GOLGA6L6","Other"
957,"GOLGA6L7","Other"
958,"GOLGA6L9","Other"
959,"GOLGA6L10","Other"
960,"GOLGA6L19","Other"
961,"GOLGA6L22","Other"
962,"GGA1","Other"
963,"GOLGA2P5","Other"
964,"GGA2","Other"
965,"GGA3","Other"
966,"GGACT","Enzyme"
967,"GGCT","Enzyme"
968,"GAGE2D","Other"
969,"PAGE2B","Other"
970,"GGH","Enzyme"
971,"GGNBP1","Other"
972,"GGNBP2","Other"
973,"GGT3P","Enzyme"
974,"GHITM","Other"
975,"EGR1","Transcription Factor"
976,"EIF3A","Other"
977,"ENPP6","Enzyme"
978,"ENTHD1","Other"
979,"ENPP2","Enzyme"
980,"EPGN","Other"
981,"EPYC","Other"
982,"EQTN","Other"
983,"EPOP","Other"
984,"EPOR","Other"
985,"EPO","Other"
986,"GPN3","Enzyme"
987,"GPNMB","Other"
988,"ERVPABLB-1","Other"
989,"ERBB2","Kinase"
990,"EREG","Other"
991,"ETF1","Enzyme"
992,"KDELR1","Other"
993,"GSPT2","Enzyme"
994,"KDELR2","Other"
995,"DHX32","Enzyme"
996,"SORD","Enzyme"
997,"DMRT1","Transcription Factor"
998,"DMTF1","Transcription Factor"
999,"DUS4L","Enzyme"
1000,"GABRR3","Ion Channel"
1001,"DUSP6","Enzyme"
1002,"DUSP16","Enzyme"
